k5; static; None; 49152; 0.37; 0.077
k5; static; 1; 49152; 0.318; 0.017
k5; static; 10; 49152; 0.34; 0.009
k5; static; 100; 49152; 0.372; 0.012
k5; static; 1000; 49152; 1.05; 0.048
k5; static; 5000; 49152; 1.601; 0.01
k5; dynamic; None; 49152; 0.316; 0.004
k5; dynamic; 1; 49152; 0.292; 0.002
k5; dynamic; 10; 49152; 0.306; 0.019
k5; dynamic; 100; 49152; 0.329; 0.001
k5; dynamic; 1000; 49152; 1.031; 0.023
k5; dynamic; 5000; 49152; 1.601; 0.015
k5; guided; None; 49152; 0.318; 0.01
k5; guided; 1; 49152; 0.291; 0.002
k5; guided; 10; 49152; 0.295; 0.0
k5; guided; 100; 49152; 0.34; 0.002
k5; guided; 1000; 49152; 1.044; 0.03
k5; guided; 5000; 49152; 1.649; 0.031
k5; static; None; 65536; 0.324; 0.007
k5; static; 1; 65536; 0.316; 0.005
k5; static; 10; 65536; 0.327; 0.018
k5; static; 100; 65536; 0.388; 0.007
k5; static; 1000; 65536; 1.199; 0.031
k5; static; 5000; 65536; 1.636; 0.017
k5; dynamic; None; 65536; 0.33; 0.018
k5; dynamic; 1; 65536; 0.299; 0.004
k5; dynamic; 10; 65536; 0.307; 0.007
k5; dynamic; 100; 65536; 0.392; 0.007
k5; dynamic; 1000; 65536; 1.187; 0.038
k5; dynamic; 5000; 65536; 1.627; 0.011
k5; guided; None; 65536; 0.336; 0.015
k5; guided; 1; 65536; 0.31; 0.017
k5; guided; 10; 65536; 0.302; 0.004
k5; guided; 100; 65536; 0.389; 0.006
k5; guided; 1000; 65536; 1.179; 0.014
k5; guided; 5000; 65536; 1.618; 0.012
k5; static; None; 131072; 0.325; 0.008
k5; static; 1; 131072; 0.346; 0.021
k5; static; 10; 131072; 0.33; 0.009
k5; static; 100; 131072; 0.398; 0.007
k5; static; 1000; 131072; 1.629; 0.033
k5; static; 5000; 131072; 1.644; 0.04
k5; dynamic; None; 131072; 0.318; 0.02
k5; dynamic; 1; 131072; 0.292; 0.002
k5; dynamic; 10; 131072; 0.3; 0.002
k5; dynamic; 100; 131072; 0.398; 0.002
k5; dynamic; 1000; 131072; 1.588; 0.009
k5; dynamic; 5000; 131072; 1.592; 0.019
k5; guided; None; 131072; 0.312; 0.009
k5; guided; 1; 131072; 0.288; 0.002
k5; guided; 10; 131072; 0.297; 0.001
k5; guided; 100; 131072; 0.396; 0.003
k5; guided; 1000; 131072; 1.583; 0.008
k5; guided; 5000; 131072; 1.592; 0.009
k5; static; None; 262144; 0.303; 0.009
k5; static; 1; 262144; 0.296; 0.002
k5; static; 10; 262144; 0.319; 0.007
k5; static; 100; 262144; 0.629; 0.008
k5; static; 1000; 262144; 1.583; 0.011
k5; static; 5000; 262144; 1.575; 0.005
k5; dynamic; None; 262144; 0.353; 0.02
k5; dynamic; 1; 262144; 0.32; 0.033
k5; dynamic; 10; 262144; 0.317; 0.006
k5; dynamic; 100; 262144; 0.666; 0.006
k5; dynamic; 1000; 262144; 1.61; 0.035
k5; dynamic; 5000; 262144; 1.601; 0.036
k5; guided; None; 262144; 0.328; 0.038
k5; guided; 1; 262144; 0.293; 0.005
k5; guided; 10; 262144; 0.32; 0.023
k5; guided; 100; 262144; 0.701; 0.07
k5; guided; 1000; 262144; 1.616; 0.015
k5; guided; 5000; 262144; 1.603; 0.007
k5; static; None; 524288; 0.333; 0.02
k5; static; 1; 524288; 0.304; 0.002
k5; static; 10; 524288; 0.34; 0.006
k5; static; 100; 524288; 0.987; 0.024
k5; static; 1000; 524288; 1.593; 0.021
k5; static; 5000; 524288; 1.602; 0.031
k5; dynamic; None; 524288; 0.386; 0.06
k5; dynamic; 1; 524288; 0.295; 0.005
k5; dynamic; 10; 524288; 0.357; 0.019
k5; dynamic; 100; 524288; 0.993; 0.026
k5; dynamic; 1000; 524288; 1.62; 0.032
k5; dynamic; 5000; 524288; 1.585; 0.019
k5; guided; None; 524288; 0.331; 0.021
k5; guided; 1; 524288; 0.308; 0.021
k5; guided; 10; 524288; 0.352; 0.013
k5; guided; 100; 524288; 1.043; 0.03
k5; guided; 1000; 524288; 1.61; 0.017
k5; guided; 5000; 524288; 1.6; 0.021
k5; static; None; 1048576; 0.365; 0.004
k5; static; 1; 1048576; 0.395; 0.015
k5; static; 10; 1048576; 0.412; 0.013
k5; static; 100; 1048576; 1.571; 0.011
k5; static; 1000; 1048576; 1.591; 0.031
k5; static; 5000; 1048576; 1.555; 0.007
k5; dynamic; None; 1048576; 0.37; 0.006
k5; dynamic; 1; 1048576; 0.352; 0.005
k5; dynamic; 10; 1048576; 0.414; 0.007
k5; dynamic; 100; 1048576; 1.566; 0.01
k5; dynamic; 1000; 1048576; 1.559; 0.005
k5; dynamic; 5000; 1048576; 1.548; 0.007
k5; guided; None; 1048576; 0.38; 0.02
k5; guided; 1; 1048576; 0.36; 0.006
k5; guided; 10; 1048576; 0.426; 0.011
k5; guided; 100; 1048576; 1.557; 0.013
k5; guided; 1000; 1048576; 1.554; 0.006
k5; guided; 5000; 1048576; 1.538; 0.005
